单品编码,单品名称,损耗率(%)
1.029E+14,牛首生菜,4.39
1.029E+14,四川红香椿,10.46
1.029E+14,西峡花菇(1),10.8
1.029E+14,本地小毛白菜,0.18
1.029E+14,白菜苔,8.78
1.029E+14,苋菜,18.52
1.029E+14,云南生菜,15.25
1.029E+14,竹叶菜,13.62
1.029E+14,小白菜,7.59
1.029E+14,南瓜尖,13.46
1.029E+14,上海青,14.43
1.029E+14,萝卜叶,5.35
1.029E+14,牛首油菜,12.17
1.029E+14,茼蒿,6.27
1.029E+14,蔡甸藜蒿,0.47
1.029E+14,菜心,13.7
1.029E+14,木耳菜,7.61
1.029E+14,大白菜,22.27
1.029E+14,豌豆尖,8.36
1.029E+14,云南油麦菜,12.81
1.029E+14,藕,15.32
1.029E+14,红尖椒,6.73
1.029E+14,青尖椒,6.72
1.029E+14,红椒(1),11.76
1.029E+14,紫茄子(2),6.07
1.029E+14,青茄子(1),5.01
1.029E+14,西峡香菇(1),13.82
1.029E+14,金针菇(1),3.43
1.029E+14,马齿苋,11.78
1.029E+14,西兰花,9.26
1.029E+14,本地菠菜,10.46
1.029E+14,黄心菜(1),10.64
1.029E+14,黑油菜,0.1
1.029E+14,平菇,11.6
1.029E+14,净藕(1),5.54
1.029E+14,青杭椒(1),0
1.029E+14,姬菇(1),8.99
1.029E+14,红杭椒,9.99
1.029E+14,泡泡椒(精品),7.08
1.029E+14,七彩椒(1),15.98
1.029E+14,白玉菇(1),9.43
1.029E+14,本地上海青,11.99
1.029E+14,菠菜,18.51
1.029E+14,高瓜(1),29.25
1.029E+14,娃娃菜,2.48
1.029E+14,双孢菇,12.78
1.029E+14,蟹味菇(1),9.24
1.029E+14,海鲜菇(1),9.89
1.029E+14,青杭椒(2),9
1.029E+14,红薯尖,8.42
1.029E+14,枝江红菜苔,11.38
1.029E+14,灯笼椒(1),16.33
1.029E+14,小米椒,5.86
1.029E+14,杏鲍菇(1),5.05
1.029E+14,黄花菜,16.89
1.029E+14,快菜,20.38
1.029E+14,螺丝椒,10.18
1.029E+14,紫圆茄,0.32
1.029E+14,随州泡泡青,12.2
1.029E+14,紫白菜(1),25.53
1.029E+14,红线椒,7.71
1.029E+14,红灯笼椒(1),8.93
1.029E+14,莲蓬(个),12.17
1.029E+14,菱角,9.61
1.029E+14,姬菇(包),12.42
1.029E+14,金针菇(袋)(1),8.85
1.029E+14,田七,16.95
1.029E+14,东门口小白菜,27.84
1.029E+14,外地茼蒿,26.16
1.029E+14,冰草,15.01
1.029E+14,银耳(朵),9.14
1.029E+14,紫苏,12.88
1.029E+14,薄荷叶,13.28
1.029E+14,蒲公英,15.92
1.029E+14,红莲藕带,16.63
1.029E+14,丝瓜尖,15.98
1.029E+14,奶白菜,15.68
1.029E+14,芥菜,13.75
1.029E+14,大芥兰,4.69
1.029E+14,面条菜,12.8
1.029E+14,甜白菜,9.43
1.029E+14,猴头菇,16.19
1.029E+14,荠菜,11.56
1.029E+14,鲜木耳(1),7.63
1.029E+14,荸荠,11.02
1.029E+14,大龙茄子,10.94
1.029E+14,水果辣椒(橙色),9.43
1.029E+14,青梗散花,17.06
1.029E+14,鸡枞菌,11.93
1.029E+14,野藕(1),7.97
